2018rank,City,State[c],2018estimate,2010Census,Change,2016 land area(sqmi),2016 land area (km2),2016 population density(/sqmi),2016 population density(/km2),Location
101,Des Moines,Iowa,"216,853","203,433",+6.60%,88.9,230.2,"2,424",936, 41.5726°N 93.6102°W 
102,Tacoma,Washington,"216,279","198,397",+9.01%,49.7,128.7,"4,251","1,641", 47.2522°N 122.4598°W 
103,San Bernardino,California,"215,941","209,924",+2.87%,61.5,159.3,"3,516","1,358", 34.1416°N 117.2936°W 
104,Modesto,California,"215,030","201,165",+6.89%,43.0,111.4,"4,934","1,905", 37.6375°N 121.0030°W 
105,Fontana,California,"213,739","196,069",+9.01%,43.0,111.4,"4,876","1,883", 34.1090°N 117.4629°W 
106,Santa Clarita,California,"210,089","176,320",+19.15%,52.8,136.8,"3,446","1,331", 34.4030°N 118.5042°W 
107,Birmingham,Alabama,"209,880","212,237",−1.11%,146.1,378.4,"1,452",561, 33.5274°N 86.7990°W 
108,Oxnard,California,"209,877","197,899",+6.05%,26.9,69.7,"7,729","2,984", 34.2023°N 119.2046°W 
109,Fayetteville,North Carolina,"209,468","200,564",+4.44%,147.7,382.5,"1,386",535, 35.0828°N 78.9735°W 
110,Moreno Valley,California,"209,050","193,365",+8.11%,51.3,132.9,"4,006","1,547", 33.9233°N 117.2057°W 
111,Rochester,New York,"206,284","210,565",−2.03%,35.8,92.7,"5,835","2,253", 43.1699°N 77.6169°W 
112,Glendale,California,"201,361","191,719",+5.03%,30.4,78.7,"6,606","2,551", 34.1814°N 118.2458°W 
113,Huntington Beach,California,"200,641","189,992",+5.60%,26.9,69.7,"7,459","2,880", 33.6906°N 118.0093°W 
114,Salt Lake City,Utah,"200,591","186,440",+7.59%,111.2,288.0,"1,742",673, 40.7769°N 111.9310°W 
115,Grand Rapids,Michigan,"200,217","188,040",+6.48%,44.4,115.0,"4,424","1,708", 42.9612°N 85.6556°W 
116,Amarillo,Texas,"199,924","190,695",+4.84%,101.4,262.6,"1,968",760, 35.1999°N 101.8302°W 
117,Yonkers,New York,"199,663","195,976",+1.88%,18.0,46.6,"11,156","4,307", 40.9459°N 73.8674°W 
118,Aurora,Illinois,"199,602","197,899",+0.86%,44.9,116.3,"4,479","1,729", 41.7635°N 88.2901°W 
119,Montgomery,Alabama,"198,218","205,764",−3.67%,159.8,413.9,"1,252",483, 32.3472°N 86.2661°W 
120,Akron,Ohio,"198,006","199,110",−0.55%,62.0,160.6,"3,188","1,231", 41.0805°N 81.5214°W 
121,Little Rock,Arkansas,"197,881","193,524",+2.25%,118.7,307.4,"1,673",646, 34.7254°N 92.3586°W 
122,Huntsville,Alabama,"197,318","180,105",+9.56%,213.4,552.7,905,349, 34.6990°N 86.6730°W 
123,Augusta[t],Georgia,"196,939","195,844",+0.56%,302.5,783.5,652,252, 33.3655°N 82.0734°W 
124,Port St. Lucie,Florida,"195,248","164,603",+18.62%,118.9,307.9,"1,557",601, 27.2806°N 80.3883°W 
125,Grand Prairie,Texas,"194,614","175,396",+10.96%,72.3,187.3,"2,637","1,018", 32.6869°N 97.0211°W 
126,Columbus[u],Georgia,"194,160","189,885",+2.25%,216.4,560.5,913,353, 32.5102°N 84.8749°W 
127,Tallahassee,Florida,"193,551","181,376",+6.71%,100.4,260.0,"1,901",734, 30.4551°N 84.2534°W 
128,Overland Park,Kansas,"192,536","173,372",+11.05%,75.1,194.5,"2,516",971, 38.8890°N 94.6906°W 
129,Tempe,Arizona,"192,364","161,719",+18.95%,40.0,103.6,"4,562","1,761", 33.3884°N 111.9318°W 
130,McKinney,Texas,"191,645","131,117",+46.16%,63.0,163.2,"2,735","1,056", 33.1985°N 96.6680°W 
131,Mobile,Alabama,"189,572","195,111",−2.84%,139.4,361.0,"1,384",534, 30.6684°N 88.1002°W 
132,Cape Coral,Florida,"189,343","154,305",+22.71%,105.6,273.5,"1,703",658, 26.6432°N 81.9974°W 
133,Shreveport,Louisiana,"188,987","199,311",−5.18%,107.1,277.4,"1,820",700, 32.4669°N 93.7922°W 
134,Frisco,Texas,"188,170","116,989",+60.84%,67.7,175.3,"2,417",933, 33.1554°N 96.8226°W 
135,Knoxville,Tennessee,"187,500","178,874",+4.82%,98.5,255.1,"1,891",730, 35.9707°N 83.9493°W 
136,Worcester,Massachusetts,"185,877","181,045",+2.67%,37.4,96.9,"4,933","1,905", 42.2695°N 71.8078°W 
137,Brownsville,Texas,"183,392","175,023",+4.78%,132.5,343.2,"1,387",536, 25.9991°N 97.4550°W 
138,Vancouver,Washington,"183,012","161,791",+13.12%,46.9,121.5,"3,728","1,439", 45.6349°N 122.5957°W 
139,Fort Lauderdale,Florida,"182,595","165,521",+10.32%,34.6,89.6,"5,166","1,995", 26.1412°N 80.1467°W 
140,Sioux Falls,South Dakota,"181,883","153,888",+18.19%,75.4,195.3,"2,312",893, 43.5383°N 96.7320°W 
141,Ontario,California,"181,107","163,924",+10.48%,49.9,129.2,"3,471","1,340", 34.0394°N 117.6042°W 
142,Chattanooga,Tennessee,"180,557","167,674",+7.68%,143.1,370.6,"1,241",479, 35.0660°N 85.2484°W 
143,Providence,Rhode Island,"179,335","178,042",+0.73%,18.4,47.7,"9,740","3,760", 41.8231°N 71.4188°W 
144,Newport News[m],Virginia,"178,626","180,719",−1.16%,69.1,179.0,"2,631","1,016", 37.0762°N 76.5220°W 
145,Rancho Cucamonga,California,"177,751","165,269",+7.55%,40.0,103.6,"4,413","1,704", 34.1233°N 117.5642°W 
146,Santa Rosa,California,"177,586","167,815",+5.82%,41.3,107.0,"4,241","1,637", 38.4468°N 122.7061°W 
